id_arrecadacao;id_uf;co_periodo;ANO2;MES;va_icms_primario;va_icms_secundario;va_icms_terciario;va_icms_terciario_atacadista;va_icms_terciario_varejista;va_icms_terciario_transportes;va_icms_terciario_comunicacao;va_icms_terciario_outros;va_icms_energia;va_icms_energia_secundario;va_icms_energia_terciario;va_icms_combustiveis;va_icms_combustiveis_secundario;va_icms_combustiveis_terciario;va_icms_divida_ativa;va_icms_outras;va_icms_total;va_outros_tributos_ipva;va_outros_tributos_itcd;va_outros_tributos_taxas;va_outros_tributos_outros;va_outros_tributos_total;va_receita_tributaria_total
2845;RN;201004;2010;4;35209537;59358696;114425188;37721676;44024482;1461064;24058771;7159195;18667306;0;18667306;10289004;0;10289004;178;0;237949909;19006714;791392;0;0;19798106;257748015
3114;PB;201004;2010;4;373198;37079581;102047544;41434208;32728226;3669710;22785115;1430285;23411298;506911;22904387;42863140;4535943;38327197;160224;0;205934985;14388380;638620;742620;8732160;24501780;230436765
3381;PE;201004;2010;4;440283;83472835;285351217;97034062;104778968;8864795;62106590;12566802;61184971;439988;60744983;69853907;785397;69068510;1407402;187372634;689083249;59777771;7704312;886822;15481026;83849931;772933180
3649;AL;201004;2010;4;118443;33672754;85971682;33366555;33771182;1717319;15364210;1752416;14117245;0;0;20503023;0;0;507481;2975577;157866205;9616586;236144;71458;4043333;13967521;171833726
3918;SE;201004;2010;4;3720299;28568136;72734652;19906911;28398091;1967016;14202809;8259825;12009893;12009701;192;26553362;25025008;1528354;570314;1052975;145209631;6516511;503508;22899;5674331;12717249;157926880
4186;BA;201004;2010;4;10031571;249236755;387599881;127177821;121476579;12212299;104790423;21942759;104252553;100859340;3393213;247391621;231323322;16068299;1344434;22263835;1022120650;44591703;3278349;20964141;145123286;213957479;1236078129
4455;MG;201004;2010;4;8628365;767314698;683599070;248785159;164940626;39712019;208289521;21871745;230448208;30335082;200113126;390874080;347371044;43503036;12562097;71520966;2164947484;140838771;20039938;123520353;0;284399062;2449346546
4724;ES;201004;2010;4;146498;194474688;267586420;178933578;39056327;10130572;39465943;0;56104711;8415707;47689004;66896389;0;66896389;3387787;5501113;594097606;89523974;1784606;18091057;0;109399637;703497243
4991;RJ;201004;2010;4;18343262;402727852;905942148;303393285;199600346;26674071;287473773;88800673;252824334;14104625;238719709;168210267;123739143;44471124;34359257;76250767;1858657887;126631376;92040371;1328898;233153641;453154286;2311812173
5260;SP;201004;2010;4;20447171;2942310046;2935186439;1225266360;559963384;168976875;837732383;143247437;615251329;1699098;613552231;838029887;586934278;251095609;16060763;377710585;7744996220;361501571;62724560;288202661;32050074;744478866;8489475086
